"FTHG","P90_home_H","HC","HF","HFRM_H"
4,0,-0.0964465933984977,0.0050549481900294,0
4,0,0.236732547432676,1.44571518234846,0
1,0,0.56991168826385,0.485275026242841,0
2,0,-0.429625734229671,-0.475165129862782,0
2,0,-0.0964465933984977,1.92593526040128,0
0,0,-0.429625734229671,-0.235055090836377,0
1,0,-0.0964465933984977,-1.195495246942,0
1,0,-1.42916315672319,-0.715275168889188,0
3,0,-1.09598401589202,0.245164987216435,0
2,0,0.236732547432676,-1.43560528596841,0
2,0,1.2362699699262,2.8863754165069,0
2,0,-0.0964465933984977,0.245164987216435,0
1,0,-0.762804875060845,-0.715275168889188,0
1,3,-0.429625734229671,-0.955385207915594,0
3,0,-1.09598401589202,0.965495104295653,0
4,0,0.236732547432676,2.64626537748049,0
3,0,0.903090829095023,2.40615533845409,0
1,1,-0.0964465933984977,1.20560514332206,0
0,0,1.56944911075737,0.725385065269247,0
5,3,0.56991168826385,-0.235055090836377,0.4
0,3,-0.0964465933984977,-0.475165129862782,0.4
2,3,1.56944911075737,-0.475165129862782,0.6
1,1,0.236732547432676,-0.715275168889188,0
1,3,-0.429625734229671,-1.43560528596841,0.4
1,4,-0.762804875060845,-0.235055090836377,0
2,3,-0.762804875060845,0.0050549481900294,0.2
3,1,0.236732547432676,-1.43560528596841,-0.2
2,0,0.236732547432676,-0.235055090836377,-0.2
1,1,0.236732547432676,0.0050549481900294,0
1,6,0.903090829095023,1.20560514332206,0.4
6,2.5,-0.429625734229671,-0.235055090836377,0.4
1,1.5,-0.762804875060845,1.44571518234846,0.2
3,2,0.236732547432676,-0.475165129862782,0.4
1,1.5,1.2362699699262,0.245164987216435,0.8
2,2,0.236732547432676,0.725385065269247,0.4
0,3,-0.0964465933984977,-0.475165129862782,-0.4
3,1,1.56944911075737,-1.195495246942,0
2,2.5,-0.0964465933984977,-0.235055090836377,0
3,2,0.56991168826385,0.0050549481900294,0.2
1,2,-0.762804875060845,0.965495104295653,0.4
0,3,-0.0964465933984977,0.485275026242841,-0.8
1,2,-0.429625734229671,-0.955385207915594,0.2
1,4,1.2362699699262,-1.67571532499481,0.2
3,3.5,0.903090829095023,0.965495104295653,0.6
3,4,-0.762804875060845,1.20560514332206,1.6
1,2.5,0.236732547432676,0.725385065269247,-0.2
0,4.5,-0.429625734229671,0.965495104295653,0.6
2,1.5,-0.762804875060845,0.965495104295653,0
1,3.5,1.56944911075737,0.245164987216435,0.6
2,2.66666666666667,0.56991168826385,-1.91582536402122,0.8
2,1.66666666666667,-0.429625734229671,-1.195495246942,0
1,1.66666666666667,0.236732547432676,-1.195495246942,0.8
1,2.33333333333333,-0.0964465933984977,-0.715275168889188,0.6
1,3.5,-0.0964465933984977,-0.235055090836377,0.2
2,1,-0.762804875060845,0.245164987216435,-0.2
2,1.33333333333333,-0.762804875060845,0.725385065269247,0.2
0,2,2.90216567408206,0.725385065269247,0.4
1,2,0.903090829095023,0.485275026242841,0.2
1,0.666666666666667,0.903090829095023,-1.91582536402122,-0.2
0,1.66666666666667,0.236732547432676,0.245164987216435,0.4
0,2.33333333333333,-0.429625734229671,-0.235055090836377,-0.8
1,1.33333333333333,0.236732547432676,0.965495104295653,0
1,2.33333333333333,-0.762804875060845,-1.195495246942,0
1,3.66666666666667,1.90262825158854,0.245164987216435,0.8
3,4.66666666666667,0.56991168826385,0.485275026242841,2.2
1,2,-0.429625734229671,-1.43560528596841,-0.4
0,3.33333333333333,-0.762804875060845,0.245164987216435,0.6
0,3.33333333333333,-0.429625734229671,-0.715275168889188,0.8
1,4.66666666666667,0.903090829095023,0.245164987216435,0.4
4,2.25,-0.0964465933984977,-3.11637555915325,0.4
2,2.75,-0.0964465933984977,-1.195495246942,1
0,2,-0.762804875060845,-1.67571532499481,0.2
4,2.66666666666667,-0.0964465933984977,-0.475165129862782,0
0,2,1.2362699699262,0.725385065269247,0.2
1,2.25,-0.0964465933984977,-1.67571532499481,0.2
1,1.5,0.236732547432676,0.245164987216435,-0.2
1,3,-1.09598401589202,1.20560514332206,1
3,1.75,-1.09598401589202,0.245164987216435,0
0,2,-0.0964465933984977,-0.235055090836377,0.4
1,3.75,0.236732547432676,-0.235055090836377,1.2
2,2,-1.09598401589202,-0.235055090836377,-1.4
1,2,0.903090829095023,0.725385065269247,-0.4
1,2.75,0.56991168826385,-0.715275168889188,0
3,2.75,0.56991168826385,-1.43560528596841,0.2
0,4,-0.0964465933984977,-1.195495246942,0.4
2,2,-0.429625734229671,-0.715275168889188,0
1,2.25,-0.429625734229671,-0.235055090836377,0.4
0,1.25,-0.762804875060845,1.20560514332206,0
1,2.5,-0.0964465933984977,-1.195495246942,-0.4
0,1.2,0.903090829095023,0.485275026242841,0.2
1,2.4,-0.429625734229671,-0.475165129862782,1
6,2,1.2362699699262,-1.67571532499481,0.6
1,3,1.2362699699262,-1.195495246942,0.8
3,3.6,1.90262825158854,-0.955385207915594,2.2
0,3.2,-0.429625734229671,-0.955385207915594,0.4
3,2.2,0.236732547432676,-0.955385207915594,0.8
1,1.6,-0.429625734229671,0.485275026242841,-0.2
0,2.4,0.236732547432676,-0.475165129862782,1
0,2,0.903090829095023,-0.715275168889188,-0.2
5,4.2,1.2362699699262,-1.67571532499481,1.4
2,3.25,0.903090829095023,0.0050549481900294,1
3,2.6,-1.42916315672319,-0.235055090836377,1.6
2,3,-0.0964465933984977,-1.195495246942,0
2,3.2,0.236732547432676,-0.955385207915594,-0.2
5,4.2,0.236732547432676,-1.91582536402122,2.8
1,2.6,-1.76234229755437,0.965495104295653,0.6
1,1.6,-1.09598401589202,0.485275026242841,-0.4
1,1.2,-0.429625734229671,0.485275026242841,-0.2
3,3.6,0.903090829095023,-0.715275168889188,1
2,2.5,-1.09598401589202,-0.715275168889188,1.2
1,1.83333333333333,-1.09598401589202,0.965495104295653,-1.2
4,3,0.236732547432676,1.20560514332206,0.6
0,2.33333333333333,0.903090829095023,-0.235055090836377,0.4
