"FTHG","P90_Ovr_H","POSD_H","PD_H","HC","HF","OFRM_H"
4,-2.54490894077147,-0.0650508471945219,0.0398188738693312,-0.0964465933984977,0.0050549481900294,0.047204524090955
4,-2.54490894077147,-0.0650508471945219,0.0398188738693312,0.236732547432676,1.44571518234846,0.047204524090955
1,-2.54490894077147,-0.0650508471945219,0.0398188738693312,0.56991168826385,0.485275026242841,0.047204524090955
2,-2.54490894077147,-0.0650508471945219,0.0398188738693312,-0.429625734229671,-0.475165129862782,0.047204524090955
2,-2.54490894077147,-0.0650508471945219,0.0398188738693312,-0.0964465933984977,1.92593526040128,0.047204524090955
0,-2.54490894077147,-0.0650508471945219,0.0398188738693312,-0.429625734229671,-0.235055090836377,0.047204524090955
1,-2.54490894077147,-0.0650508471945219,0.0398188738693312,-0.0964465933984977,-1.195495246942,0.047204524090955
1,-2.54490894077147,-0.0650508471945219,0.0398188738693312,-1.42916315672319,-0.715275168889188,0.047204524090955
3,-2.54490894077147,-0.0650508471945219,0.0398188738693312,-1.09598401589202,0.245164987216435,0.047204524090955
2,-2.54490894077147,-0.188032548358295,0.0398188738693312,0.236732547432676,-1.43560528596841,0.047204524090955
2,-2.54490894077147,0.672839359788115,-0.215200880125262,1.2362699699262,2.8863754165069,-0.198517656108537
2,-2.54490894077147,1.41072956677075,-0.215200880125262,-0.0964465933984977,0.245164987216435,-0.198517656108537
1,-2.54490894077147,1.28774786560698,-0.215200880125262,-0.762804875060845,-0.715275168889188,-0.444239836308028
1,3.38097925156155,0.0579308539692509,0.0398188738693312,-0.429625734229671,-0.955385207915594,0.538648884489938
3,-2.54490894077147,1.77967467026207,-0.215200880125262,-1.09598401589202,0.965495104295653,-0.444239836308028
4,-2.54490894077147,1.41072956677075,-0.215200880125262,0.236732547432676,2.64626537748049,-0.935684196707012
3,-2.54490894077147,0.795821060951888,-0.0451877107955332,0.903090829095023,2.40615533845409,-0.444239836308028
1,-0.569612876660463,-0.679959353013386,0.124825458534196,-0.0964465933984977,1.20560514332206,0.047204524090955
