"FTAG","P90_away_A","AC","AF","AFRM_A"
0,0,0.493196244916952,-0.443730769909923,0
2,0,0.857816036878901,0.012609399415573,0
3,0,-0.236043339006946,1.60979999205481,0
2,0,1.22243582884085,-0.215560685247175,0
0,0,-0.236043339006946,1.38162990739206,0
0,0,-0.236043339006946,-0.443730769909923,0
0,0,-1.32990271489279,-1.35641110856092,0
0,0,1.5870556208028,1.60979999205481,0
1,0,-0.236043339006946,-0.215560685247175,0
0,0,-1.32990271489279,-0.215560685247175,0
0,3,2.3162952047267,1.38162990739206,0
0,3,-0.236043339006946,0.468949568741069,0
1,3,0.493196244916952,-1.58458119322366,0
1,3,0.128576452955003,0.925289738066565,0
0,3,0.128576452955003,0.240779484078321,0
2,3,-0.600663130968894,0.012609399415573,0
2,1,0.493196244916952,-0.671900854572671,0
2,0,0.128576452955003,1.38162990739206,0
1,1,0.128576452955003,0.012609399415573,0
3,3,-0.600663130968894,0.240779484078321,-0.6
0,4,1.22243582884085,-0.443730769909923,0.2
2,1,-0.965282922930843,-1.12824102389817,-0.2
0,3,0.493196244916952,-0.443730769909923,-0.4
2,3,0.128576452955003,-0.443730769909923,0.2
2,3,1.22243582884085,1.38162990739206,0
0,4,-0.965282922930843,-0.900070939235419,0
3,3,-1.32990271489279,-1.81275127788641,-0.4
2,4,0.128576452955003,-1.12824102389817,0
1,3,1.95167541276475,-0.443730769909923,-0.4
2,1.5,-0.236043339006946,2.29431024604305,-0.8
0,2,-1.32990271489279,-0.900070939235419,-0.2
1,0.5,2.3162952047267,0.012609399415573,-0.4
2,2,0.128576452955003,-0.900070939235419,-0.4
1,1,3.41015458061254,0.468949568741069,0
2,3,0.493196244916952,1.83797007671756,-0.2
2,3,1.22243582884085,0.925289738066565,-0.4
3,2,0.128576452955003,-0.900070939235419,0.4
1,2,-0.965282922930843,-0.215560685247175,-0.4
1,2,0.857816036878901,-1.58458119322366,0
1,3.5,1.95167541276475,-0.215560685247175,-0.2
0,3,0.493196244916952,0.012609399415573,0.2
2,1,-0.600663130968894,-0.215560685247175,-0.4
0,1.5,0.493196244916952,-1.12824102389817,0
2,3,-0.236043339006946,0.697119653403817,-0.6
0,2,-0.236043339006946,0.012609399415573,-0.6
2,2,0.857816036878901,-2.04092136254916,-0.6
0,2.5,0.493196244916952,1.60979999205481,-0.4
2,2,2.3162952047267,-0.443730769909923,-1
0,1,-0.600663130968894,-0.215560685247175,-0.4
1,2.33333333333333,-0.236043339006946,-0.215560685247175,0.4
0,1.66666666666667,0.493196244916952,-0.443730769909923,-1.4
0,3.33333333333333,0.128576452955003,-0.900070939235419,-0.4
3,3.66666666666667,0.128576452955003,-0.671900854572671,0
2,1.33333333333333,-0.600663130968894,1.15345982272931,-0.6
0,3.33333333333333,1.22243582884085,0.012609399415573,0
1,1.33333333333333,0.128576452955003,3.20699058469405,-0.2
2,3.66666666666667,-0.600663130968894,0.697119653403817,0.2
1,1.66666666666667,-0.600663130968894,-0.671900854572671,0.4
1,3.33333333333333,-1.69452250685474,-0.215560685247175,-0.4
1,2,0.128576452955003,0.925289738066565,-0.2
3,1,0.493196244916952,-0.671900854572671,-0.6
1,2.33333333333333,-0.236043339006946,0.240779484078321,0.2
1,3.66666666666667,0.857816036878901,-0.215560685247175,-0.2
1,2.33333333333333,-0.600663130968894,0.925289738066565,-1.2
3,2,-0.236043339006946,1.15345982272931,-0.4
1,4,0.128576452955003,0.012609399415573,-0.2
1,2.66666666666667,0.857816036878901,-0.900070939235419,-1
0,2.33333333333333,-0.236043339006946,0.012609399415573,-0.8
1,2.33333333333333,-0.600663130968894,-0.215560685247175,-0.4
1,1.25,0.493196244916952,-2.95360170120015,-0.4
2,1.75,0.493196244916952,0.468949568741069,0.2
3,2,-1.32990271489279,-2.04092136254916,-0.4
3,2.75,-0.236043339006946,1.38162990739206,-0.6
1,2.5,1.22243582884085,-0.443730769909923,-0.4
3,1.75,0.493196244916952,1.83797007671756,0.4
1,1.25,-0.965282922930843,-0.900070939235419,-1.8
0,3.75,2.3162952047267,0.697119653403817,0.4
0,3,-1.32990271489279,0.012609399415573,-0.4
0,3.75,-0.965282922930843,-1.35641110856092,0.6
0,4,-0.236043339006946,1.38162990739206,-0.2
1,2.75,0.128576452955003,0.468949568741069,-0.8
1,2.25,1.22243582884085,-0.215560685247175,0
1,1.75,0.128576452955003,-0.671900854572671,0
1,3,0.128576452955003,-1.12824102389817,-0.8
3,3.75,0.857816036878901,-0.671900854572671,0.2
0,1.5,0.493196244916952,0.468949568741069,-1.8
0,2.5,-1.69452250685474,0.925289738066565,-0.4
4,3,-0.600663130968894,-0.215560685247175,-1
3,3.25,0.493196244916952,-0.215560685247175,-0.2
2,2.4,-1.32990271489279,0.012609399415573,0.2
0,2,0.493196244916952,1.15345982272931,0.8
1,2.2,-1.69452250685474,-1.35641110856092,0.2
0,3.2,1.5870556208028,-0.900070939235419,0.6
0,2.8,-0.236043339006946,0.925289738066565,0.2
1,1.8,-0.236043339006946,-0.443730769909923,-0.4
1,1,-0.236043339006946,0.468949568741069,-1
2,3.6,-0.236043339006946,-0.671900854572671,-0.2
0,2.4,-0.600663130968894,0.697119653403817,-1.2
2,2.2,-0.600663130968894,0.240779484078321,-0.8
0,2.8,-0.236043339006946,-0.215560685247175,-0.4
1,3,0.493196244916952,-0.671900854572671,-1.2
0,2.8,-0.600663130968894,0.012609399415573,-1
1,2,-1.32990271489279,0.697119653403817,0.6
1,1,-0.600663130968894,0.925289738066565,-1.4
0,2,0.857816036878901,-1.12824102389817,0
0,2.2,-0.600663130968894,-0.900070939235419,-0.8
0,3.2,1.22243582884085,-0.900070939235419,0.2
1,3.5,1.5870556208028,0.240779484078321,-0.4
1,2.4,0.493196244916952,-0.900070939235419,-0.2
0,1.16666666666667,0.493196244916952,1.38162990739206,-2.2
2,4,1.5870556208028,-1.35641110856092,0.8
3,3.5,0.857816036878901,0.925289738066565,-0.2
1,3.16666666666667,-0.236043339006946,0.012609399415573,0.4
1,4,1.22243582884085,-0.671900854572671,0
1,3,-0.236043339006946,-1.58458119322366,0.6
2,2.66666666666667,0.857816036878901,-0.671900854572671,-0.6
1,2.66666666666667,0.857816036878901,-1.12824102389817,-1.2
1,3.2,-0.965282922930843,2.06614016138031,-0.4
0,1.83333333333333,-1.32990271489279,0.925289738066565,0
0,1,-1.69452250685474,-0.215560685247175,-1.4
0,2.83333333333333,-1.32990271489279,-0.215560685247175,-1.6
1,2,-0.600663130968894,0.925289738066565,-0.2
0,3,-0.600663130968894,-0.443730769909923,-0.8
1,3.16666666666667,-0.600663130968894,-1.35641110856092,0.4
1,1.66666666666667,-1.69452250685474,-0.900070939235419,0
2,2.16666666666667,-0.236043339006946,1.60979999205481,-1
1,2.33333333333333,0.128576452955003,-1.58458119322366,-0.6
1,3,-0.965282922930843,2.29431024604305,-0.4
1,1.83333333333333,-1.32990271489279,-0.443730769909923,-1.2
0,2.42857142857143,0.128576452955003,1.83797007671756,-0.4
0,1,-0.236043339006946,0.925289738066565,-2.4
0,4,0.128576452955003,-0.443730769909923,0.4
1,2.14285714285714,-0.965282922930843,1.15345982272931,0.4
1,4.28571428571429,2.3162952047267,-1.35641110856092,1
3,3.28571428571429,-0.965282922930843,-0.443730769909923,0.4
2,2.42857142857143,-0.236043339006946,2.75065041536855,-1
0,3.66666666666667,-0.600663130968894,-0.900070939235419,-0.2
1,3.42857142857143,0.128576452955003,-0.215560685247175,0
1,3,0.128576452955003,-0.443730769909923,0.8
1,2.85714285714286,1.22243582884085,0.468949568741069,-0.6
1,3.14285714285714,-1.32990271489279,1.15345982272931,-0.2
3,4.71428571428571,1.5870556208028,-0.443730769909923,1.2
1,2.42857142857143,-0.236043339006946,0.925289738066565,-0.8
3,3.42857142857143,0.128576452955003,-2.04092136254916,1.2
2,1,-0.236043339006946,0.925289738066565,-1.6
3,2.57142857142857,1.95167541276475,-0.900070939235419,0.6
0,3.71428571428571,1.22243582884085,0.240779484078321,1
0,4,-0.236043339006946,1.83797007671756,0
1,3.42857142857143,2.3162952047267,0.240779484078321,-0.2
0,2.125,1.22243582884085,0.240779484078321,-1
1,2.875,-0.965282922930843,-0.443730769909923,0
1,1.5,1.22243582884085,-0.443730769909923,-2
1,1.25,-1.32990271489279,-0.215560685247175,-1.4
1,2.75,0.493196244916952,-1.58458119322366,-0.6
0,2.625,0.128576452955003,-1.12824102389817,-0.8
0,2.875,0.128576452955003,-1.35641110856092,-1.6
0,1.375,0.128576452955003,1.15345982272931,-0.2
1,1.75,1.95167541276475,-0.443730769909923,-1.4
0,2.625,-0.236043339006946,2.06614016138031,0.2
0,3,-0.965282922930843,-0.671900854572671,0.4
3,2.875,-0.965282922930843,0.468949568741069,-1.8
3,4.875,0.493196244916952,-0.900070939235419,1.4
1,1.625,0.493196244916952,0.012609399415573,-1
0,2.625,3.04553478865059,-0.443730769909923,-0.4
0,3.14285714285714,1.95167541276475,0.240779484078321,-1
0,1.375,-0.600663130968894,1.60979999205481,-0.4
1,3.42857142857143,-0.236043339006946,0.240779484078321,-0.4
0,3.625,1.95167541276475,0.240779484078321,0
1,3.375,0.128576452955003,0.012609399415573,1.2
2,1.88888888888889,-0.236043339006946,0.468949568741069,-1.4
0,1.66666666666667,0.128576452955003,-0.900070939235419,-2
1,2.77777777777778,0.857816036878901,-1.58458119322366,1
1,2.22222222222222,-1.32990271489279,-0.443730769909923,-1
0,3.22222222222222,0.128576452955003,1.38162990739206,0.2
1,2.44444444444444,0.128576452955003,0.468949568741069,-1.4
0,2.55555555555556,0.128576452955003,0.468949568741069,-1
1,1.33333333333333,-0.600663130968894,0.697119653403817,-1.2
1,3,-0.965282922930843,-0.671900854572671,-0.4
1,3.77777777777778,0.857816036878901,0.012609399415573,-0.2
1,2.22222222222222,0.493196244916952,-0.215560685247175,-1.6
0,2.44444444444444,0.493196244916952,1.60979999205481,-1.4
0,1.33333333333333,-0.236043339006946,-0.443730769909923,-1.4
0,3,-0.600663130968894,0.468949568741069,-0.8
2,3.25,-0.965282922930843,0.925289738066565,-0.4
1,2.88888888888889,0.128576452955003,-2.04092136254916,0.4
0,3.88888888888889,-0.600663130968894,0.012609399415573,-0.2
0,3.66666666666667,-0.600663130968894,-1.35641110856092,0.8
0,2,0.493196244916952,0.925289738066565,-1.4
0,1.55555555555556,-0.236043339006946,-0.215560685247175,-1
1,3.5,-1.69452250685474,-0.671900854572671,-0.2
1,4.3,-0.236043339006946,0.468949568741069,1.6
4,3.2,1.22243582884085,0.697119653403817,-0.2
