"FTHG","ELO_H","ELO_A"
1,981.860504510407,1121.28990675068
1,1077.96542749286,1072.03457250714
1,926.105487915724,1139.00630530646
1,893.924918262057,1168.37588516914
0,797.609664647633,1366.57192288408
4,1088.66038401335,1096.48134910251
3,1100.46762595851,1028.15108434926
1,856.158044793222,1180.00426054879
0,1044.44784733551,1065.84277328227
2,882.187373867107,1261.17398232747
0,882.622072643149,1257.62380535592
5,1190.57139612071,1068.48540198115
1,963.05085293526,1282.1351890221
3,1122.21019504161,1277.78980495839
2,1026.29842126534,1055.35243875002
1,973.364515676682,1132.27665200192
1,1031.15507129868,1120.38691326419
0,876.518373818204,1210.37079603124
0,1016.05152773418,1187.24400445532
0,882.351495841668,1117.64850415833
2,870.491252026386,1190.18218563178
0,936.795733840695,1088.38975838307
1,990.904415375165,1104.53950818322
0,912.16782495869,1213.98574258357
1,931.23296398358,1260.44976223808
2,971.497491110195,1094.83022558995
7,1332.46337304147,1069.55357175979
3,1123.91101186664,1079.09953065306
3,1284.43051045547,1068.01729887945
1,1018.74646554172,1095.78242755767
3,1124.42510330784,1124.30340496507
1,1025.87583122967,1243.27723668566
1,1032.64683518106,1112.78195695305
2,1068.12235297913,1065.17631543586
1,1046.04617599165,1054.59402768319
0,938.103830944988,1043.54341481772
0,969.567687334842,1125.71458767742
2,1008.52271359933,1125.15902897472
1,947.126246949646,1082.65045818952
3,1180.01941793302,1105.64003429187
2,1097.37630909728,1053.61752205565
3,1171.26302997891,1083.80645875541
0,909.607068162889,1194.79296886849
1,1016.01920161693,1180.15794923887
2,1041.95762512796,1117.26525818844
1,947.116804379702,1141.03448851176
1,904.86691853154,1209.78204785788
2,985.498337041484,1157.03877748257
1,989.642778356877,1136.15783874841
2,1175.44105358427,1053.57044970547
0,831.296923874597,1144.2311775442
2,1128.1846454874,1071.8153545126
1,999.89344732971,1096.42883651016
5,1213.42281194755,1098.92323165111
3,1020.29262386979,1115.93177174406
1,1049.14200915813,1101.33241740115
0,1067.3239709108,1013.82273417766
2,1250.78086441198,1088.24770496502
2,1041.56175912332,1101.06184057772
2,1097.11957192517,1052.0422171796
3,913.66872047862,1224.33907688672
0,898.356579201919,1083.38114206048
1,959.197765095194,1131.11891240886
1,952.846874778718,1160.47677871148
3,1077.50870444641,1122.49129555359
2,927.295695300769,1141.58585534634
1,860.008107688914,1230.4376886636
0,831.329446647068,1164.44673770656
1,1015.98413933658,1143.40422313692
2,1020.59663211072,1084.95791637963
4,1273.16931780392,1123.64334254053
0,913.827158697369,1083.97375581354
0,899.811549027174,1086.75101343267
0,948.765397920695,1100.12352869648
1,897.081088108438,1132.70889342991
1,949.015904954842,1152.2030881609
0,996.624030015425,1054.37751045426
3,944.068393300622,1193.8878573775
1,1052.9114120041,1047.67145042321
1,904.8716579215,1117.77633636705
0,841.226500192311,1176.95637073242
0,1056.87462001991,1051.8207882795
0,974.349729754031,1072.6395206358
1,945.095295819616,1161.88626252083
0,938.005545912109,1138.81747127772
0,948.3086296568,1165.80195801412
0,1061.78631297835,1095.78017186909
1,917.919998570613,1146.52707409847
2,966.792788927259,1129.05689306344
0,945.156649830025,1052.00228424287
3,1028.52064353812,1213.3474117728
0,963.621585166411,1079.21002603116
1,1041.71715687077,1060.73201251003
3,1082.3349598637,1119.54024367005
1,943.389625915846,1162.43680360278
2,1030.522957254,1065.57110076519
0,1108.15825854247,1029.93210783992
2,911.81568773228,1145.48368880629
0,879.782083137794,1156.35597446384
3,1099.21201706189,1137.31458638742
1,1073.57534210212,1078.08640628507
0,915.900713348627,1165.15017793847
0,925.706201909601,1077.95926145496
0,911.452864675891,1066.85939690371
5,1085.45036058089,1152.37979884335
0,904.904842303873,1097.38792499463
1,949.719912603523,1097.4416659361
0,920.26887065733,1143.49543224008
2,1033.15356623093,1108.69212425176
2,1055.16816857316,1055.33682920126
4,1091.02852639967,1105.61399048212
1,1021.34637002797,1086.69718879421
4,1138.66293457693,1052.99071072019
2,1160.87286219584,1052.12571283672
2,1078.22333202383,1070.33009128571
1,1039.90209575486,1157.50398643165
3,1199.49761217191,1058.76606191548
0,981.852106518554,1117.80788705822
3,1120.77165629127,1094.79024281283
3,1249.0880621542,1121.03197072255
1,988.089488746812,1155.7998363125
6,1183.91052387166,1148.23281387401
1,983.626378850507,1073.38982377993
1,1049.60888050075,1100.34843447726
5,1157.46836484664,1125.66740593451
1,1035.74763109036,1111.53593670418
2,1024.14522968559,1112.94374606901
1,1076.84439466849,1074.12472729822
0,1113.69409666561,1044.25896533939
0,1071.04193151597,1071.5367044055
0,1006.80616005803,1093.19383994197
0,914.278607368705,1085.72139263129
2,1003.10412979339,1126.67454170301
3,990.364498583025,1134.88495809894
1,986.073025452272,1086.22835901229
4,1112.20965501301,1107.6470288401
2,1016.0161028597,1115.76117295717
1,1041.84556789254,1057.97697534046
0,1001.49296137188,1048.54187396458
