"FTR","ELO_H","ELO_A"
1,981.860504510407,1121.28990675068
0,1077.96542749286,1072.03457250714
1,926.105487915724,1139.00630530646
3,893.924918262057,1168.37588516914
1,797.609664647633,1366.57192288408
3,1088.66038401335,1096.48134910251
3,1100.46762595851,1028.15108434926
3,856.158044793222,1180.00426054879
0,1044.44784733551,1065.84277328227
3,882.187373867107,1261.17398232747
0,882.622072643149,1257.62380535592
3,1190.57139612071,1068.48540198115
0,963.05085293526,1282.1351890221
0,1122.21019504161,1277.78980495839
3,1026.29842126534,1055.35243875002
1,973.364515676682,1132.27665200192
0,1031.15507129868,1120.38691326419
0,876.518373818204,1210.37079603124
0,1016.05152773418,1187.24400445532
1,882.351495841668,1117.64850415833
3,870.491252026386,1190.18218563178
1,936.795733840695,1088.38975838307
1,990.904415375165,1104.53950818322
0,912.16782495869,1213.98574258357
0,931.23296398358,1260.44976223808
3,971.497491110195,1094.83022558995
3,1332.46337304147,1069.55357175979
3,1123.91101186664,1079.09953065306
1,1284.43051045547,1068.01729887945
1,1018.74646554172,1095.78242755767
3,1124.42510330784,1124.30340496507
0,1025.87583122967,1243.27723668566
0,1032.64683518106,1112.78195695305
3,1068.12235297913,1065.17631543586
1,1046.04617599165,1054.59402768319
1,938.103830944988,1043.54341481772
0,969.567687334842,1125.71458767742
3,1008.52271359933,1125.15902897472
3,947.126246949646,1082.65045818952
1,1180.01941793302,1105.64003429187
3,1097.37630909728,1053.61752205565
3,1171.26302997891,1083.80645875541
0,909.607068162889,1194.79296886849
0,1016.01920161693,1180.15794923887
3,1041.95762512796,1117.26525818844
1,947.116804379702,1141.03448851176
1,904.86691853154,1209.78204785788
3,985.498337041484,1157.03877748257
1,989.642778356877,1136.15783874841
0,1175.44105358427,1053.57044970547
1,831.296923874597,1144.2311775442
1,1128.1846454874,1071.8153545126
3,999.89344732971,1096.42883651016
3,1213.42281194755,1098.92323165111
3,1020.29262386979,1115.93177174406
0,1049.14200915813,1101.33241740115
0,1067.3239709108,1013.82273417766
0,1250.78086441198,1088.24770496502
3,1041.56175912332,1101.06184057772
3,1097.11957192517,1052.0422171796
3,913.66872047862,1224.33907688672
1,898.356579201919,1083.38114206048
1,959.197765095194,1131.11891240886
3,952.846874778718,1160.47677871148
3,1077.50870444641,1122.49129555359
3,927.295695300769,1141.58585534634
1,860.008107688914,1230.4376886636
1,831.329446647068,1164.44673770656
0,1015.98413933658,1143.40422313692
3,1020.59663211072,1084.95791637963
1,1273.16931780392,1123.64334254053
